"Date","Price","Open","High","Low","Change %"
"17-09-2026","7.054","7.084","7.086","7.054","-0.01%"
"16-09-2026","7.055","7.083","7.083","7.053","-0.25%"
"15-09-2026","7.073","7.021","7.097","7.021","0.74%"
"14-09-2026","7.021","7.021","7.021","7.021","0.00%"
"11-09-2026","7.021","6.980","7.028","6.980","0.57%"
"10-09-2026","6.981","6.955","6.981","6.955","0.37%"
"09-09-2026","6.955","6.944","6.960","6.944","0.16%"
"08-09-2026","6.944","6.957","6.963","6.944","-0.19%"
"07-09-2026","6.957","6.961","6.974","6.948","-0.06%"
"04-09-2026","6.961","6.964","6.978","6.953","-0.06%"
"03-09-2026","6.965","6.972","6.972","6.943","-0.10%"
"02-09-2026","6.972","6.972","6.972","6.972","0.22%"
"01-09-2026","6.957","6.947","6.962","6.942","0.14%"
"31-08-2026","6.947","6.913","6.956","6.913","0.49%"
"28-08-2026","6.913","6.891","6.920","6.891","0.30%"
"27-08-2026","6.892","6.851","6.892","6.851","0.60%"
"26-08-2026","6.851","6.851","6.851","6.851","0.00%"
"25-08-2026","6.851","6.872","6.885","6.851","-0.31%"
"24-08-2026","6.872","6.846","6.872","6.845","0.38%"
"21-08-2026","6.846","6.873","6.883","6.846","-0.39%"
"20-08-2026","6.873","6.812","6.873","6.812","0.90%"
"19-08-2026","6.812","6.831","6.832","6.812","-0.28%"
"18-08-2026","6.831","6.804","6.851","6.804","0.40%"
"17-08-2026","6.804","6.801","6.819","6.798","0.62%"
